Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Чуприна;Богдан;Васильович;male;1966-09-04;Музикознавець;село Харків;набережна Перемоги, буд. 7 кв. 262, Амвросіївка, 24098;086-86-36;adamchernenko@example.org
Штокало;Сніжана;Анатоліївна;female;2006-07-28;Фрілансер;хутір Шостка;парк Васнецова, буд. 07 кв. 0, Деражня, 20725;+380 04 216 44 20;leontiikharchenko@example.com
Андрощук;Єва;Степанівна;female;1979-04-20;Різноробочий;хутір Роздільна;провулок Рівності, буд. 009, Золотоноша, 17986;148 20 07;iukhym44@example.org
Алексеєнко;Венедикт;Олегович;male;1977-08-16;Краєзнавець;хутір Пустомити;сквер Небесної Сотні, буд. 9, Лохвиця, 27423;+380 59 901-63-25;zdubyna@example.com
Ісаєвич;Давид;Богданович;male;1977-04-18;Парфюмер;місто Золочів;шосе 19-й км Старокиївської дороги, буд. 5, Ірпінь, 22618;+380 90 086-59-10;udanchuk@example.org
Ємельяненко;Клавдія;Максимівна;female;1980-04-19;Акушер;селище Олександрівськ;вулиця Чорноморський, буд. 06 кв. 972, Гнівань, 18082;098 681-76-36;aleksiichukarkadii@example.org
Вовк;Ольга;Іванівна;female;1944-08-17;Бізнесмен;селище Білогірськ;узвіз Новикова, буд. 9 кв. 48, Вознесенськ, 85510;037 894 02 13;hchekaliuk@example.net
Стус;Антон;Ілліч;male;1991-04-09;Локсмайстер;місто Яворів;парк Косовська, буд. 34 кв. 410, Федорівка, 79791;084 181 78 12;davyd31@example.net
Шахрай;Пріска;Євгенівна;female;1994-11-02;Електромонтер;село Федорівка;площа Авіаційна, буд. 176 кв. 14, Таврійськ, 11679;+380 52 680 03 99;bohodar67@example.org
Гречко;Захар;Петрович;male;1954-03-30;Водій;місто Олександрія;шосе Василя Кандинського 2-й, буд. 946, Вараш, 50962;+380 68 726-07-61;petro98@example.org
Тимченко;Назар;Анатолійович;male;1951-12-14;Ґрунтознавець;місто Тальне;узвіз 5-та Лінія Марії Демченко, буд. 484, Баранівка, 26131;074 866 11 75;abarannyk@example.org
Ярема;Емілія;Анатоліївна;female;1975-02-11;Науковець;селище Березне;сквер Гранатний, буд. 106 кв. 674, Херсон, 84845;+380 65 956 23 87;mbaturynets@example.org
Жайворон;Данило;Юрійович;male;1942-04-13;Хореограф;хутір Ромни;вулиця Мусіна, буд. 4 кв. 6, Стрий, 11031;+380 77 112-19-74;avoblyi@example.org
Єрошенко;Остап;Володимирович;male;1981-12-14;Астронавт;місто Оріхів;проспект Лінія 50-та, буд. 6, П'ятихатки, 06093;+380 96 051-61-62;haivoronskakhoma@example.net
